group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_bench,kvs,,,,1005902.0,ns,8978
read_bench,kvs,,,,1954104.0,ns,17956
read_bench,kvs,,,,3097206.0,ns,26934
read_bench,kvs,,,,3962108.0,ns,35912
read_bench,kvs,,,,4885810.0,ns,44890
read_bench,kvs,,,,7574515.0,ns,53868
read_bench,kvs,,,,7013013.0,ns,62846
read_bench,kvs,,,,8354016.0,ns,71824
read_bench,kvs,,,,9207518.0,ns,80802
read_bench,kvs,,,,9799818.0,ns,89780
read_bench,kvs,,,,10796620.0,ns,98758
read_bench,kvs,,,,11758022.0,ns,107736
read_bench,kvs,,,,12649325.0,ns,116714
read_bench,kvs,,,,13720326.0,ns,125692
read_bench,kvs,,,,14672728.0,ns,134670
read_bench,kvs,,,,15630929.0,ns,143648
read_bench,kvs,,,,16757832.0,ns,152626
read_bench,kvs,,,,17567233.0,ns,161604
read_bench,kvs,,,,18673436.0,ns,170582
read_bench,kvs,,,,19618238.0,ns,179560
read_bench,kvs,,,,20594339.0,ns,188538
read_bench,kvs,,,,21694742.0,ns,197516
read_bench,kvs,,,,22511243.0,ns,206494
read_bench,kvs,,,,23475745.0,ns,215472
read_bench,kvs,,,,25596049.0,ns,224450
read_bench,kvs,,,,25414749.0,ns,233428
read_bench,kvs,,,,31978361.0,ns,242406
read_bench,kvs,,,,27460352.0,ns,251384
read_bench,kvs,,,,28315454.0,ns,260362
read_bench,kvs,,,,30085358.0,ns,269340
read_bench,kvs,,,,30745558.0,ns,278318
read_bench,kvs,,,,31240659.0,ns,287296
read_bench,kvs,,,,32253562.0,ns,296274
read_bench,kvs,,,,33329863.0,ns,305252
read_bench,kvs,,,,34312265.0,ns,314230
read_bench,kvs,,,,35177867.0,ns,323208
read_bench,kvs,,,,36211569.0,ns,332186
read_bench,kvs,,,,37476872.0,ns,341164
read_bench,kvs,,,,38158973.0,ns,350142
read_bench,kvs,,,,39184774.0,ns,359120
read_bench,kvs,,,,40350577.0,ns,368098
read_bench,kvs,,,,41100578.0,ns,377076
read_bench,kvs,,,,42873782.0,ns,386054
read_bench,kvs,,,,43664683.0,ns,395032
read_bench,kvs,,,,43947684.0,ns,404010
read_bench,kvs,,,,44914786.0,ns,412988
read_bench,kvs,,,,45980487.0,ns,421966
read_bench,kvs,,,,46932590.0,ns,430944
read_bench,kvs,,,,47992391.0,ns,439922
read_bench,kvs,,,,48922594.0,ns,448900
read_bench,kvs,,,,49775194.0,ns,457878
read_bench,kvs,,,,51746799.0,ns,466856
read_bench,kvs,,,,51892298.0,ns,475834
read_bench,kvs,,,,54421004.0,ns,484812
read_bench,kvs,,,,56977808.0,ns,493790
read_bench,kvs,,,,56488907.0,ns,502768
read_bench,kvs,,,,59080012.0,ns,511746
read_bench,kvs,,,,57819810.0,ns,520724
read_bench,kvs,,,,57724010.0,ns,529702
read_bench,kvs,,,,58777812.0,ns,538680
read_bench,kvs,,,,59595513.0,ns,547658
read_bench,kvs,,,,62287319.0,ns,556636
read_bench,kvs,,,,61678317.0,ns,565614
read_bench,kvs,,,,62505919.0,ns,574592
read_bench,kvs,,,,64067422.0,ns,583570
read_bench,kvs,,,,64711723.0,ns,592548
read_bench,kvs,,,,66273526.0,ns,601526
read_bench,kvs,,,,66415526.0,ns,610504
read_bench,kvs,,,,68239830.0,ns,619482
read_bench,kvs,,,,80264952.0,ns,628460
read_bench,kvs,,,,70374634.0,ns,637438
read_bench,kvs,,,,70924934.0,ns,646416
read_bench,kvs,,,,71533435.0,ns,655394
read_bench,kvs,,,,72328637.0,ns,664372
read_bench,kvs,,,,73311339.0,ns,673350
read_bench,kvs,,,,75904344.0,ns,682328
read_bench,kvs,,,,76314744.0,ns,691306
read_bench,kvs,,,,76241044.0,ns,700284
read_bench,kvs,,,,77465247.0,ns,709262
read_bench,kvs,,,,79309550.0,ns,718240
read_bench,kvs,,,,79668951.0,ns,727218
read_bench,kvs,,,,81220254.0,ns,736196
read_bench,kvs,,,,82879857.0,ns,745174
read_bench,kvs,,,,82083555.0,ns,754152
read_bench,kvs,,,,82891757.0,ns,763130
read_bench,kvs,,,,83931659.0,ns,772108
read_bench,kvs,,,,88523768.0,ns,781086
read_bench,kvs,,,,87470765.0,ns,790064
read_bench,kvs,,,,89517470.0,ns,799042
read_bench,kvs,,,,87822866.0,ns,808020
read_bench,kvs,,,,89599270.0,ns,816998
read_bench,kvs,,,,90296570.0,ns,825976
read_bench,kvs,,,,91051972.0,ns,834954
read_bench,kvs,,,,93270176.0,ns,843932
read_bench,kvs,,,,93105575.0,ns,852910
read_bench,kvs,,,,93717476.0,ns,861888
read_bench,kvs,,,,95354280.0,ns,870866
read_bench,kvs,,,,95959381.0,ns,879844
read_bench,kvs,,,,99149387.0,ns,888822
read_bench,kvs,,,,98948787.0,ns,897800
