group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_bench,kvs,,,,1029367.0,ns,11346
read_bench,kvs,,,,1940225.0,ns,22692
read_bench,kvs,,,,2907787.0,ns,34038
read_bench,kvs,,,,3889051.0,ns,45384
read_bench,kvs,,,,4947919.0,ns,56730
read_bench,kvs,,,,5111629.0,ns,68076
read_bench,kvs,,,,6929446.0,ns,79422
read_bench,kvs,,,,7211264.0,ns,90768
read_bench,kvs,,,,8897572.0,ns,102114
read_bench,kvs,,,,9418406.0,ns,113460
read_bench,kvs,,,,10288262.0,ns,124806
read_bench,kvs,,,,11540042.0,ns,136152
read_bench,kvs,,,,11676851.0,ns,147498
read_bench,kvs,,,,15185676.0,ns,158844
read_bench,kvs,,,,13291555.0,ns,170190
read_bench,kvs,,,,14641341.0,ns,181536
read_bench,kvs,,,,16413755.0,ns,192882
read_bench,kvs,,,,18125165.0,ns,204228
read_bench,kvs,,,,20633927.0,ns,215574
read_bench,kvs,,,,19998186.0,ns,226920
read_bench,kvs,,,,22331335.0,ns,238266
read_bench,kvs,,,,22156525.0,ns,249612
read_bench,kvs,,,,24580280.0,ns,260958
read_bench,kvs,,,,24534777.0,ns,272304
read_bench,kvs,,,,26675115.0,ns,283650
read_bench,kvs,,,,26306091.0,ns,294996
read_bench,kvs,,,,24529277.0,ns,306342
read_bench,kvs,,,,26657813.0,ns,317688
read_bench,kvs,,,,27459466.0,ns,329034
read_bench,kvs,,,,29974727.0,ns,340380
read_bench,kvs,,,,27884293.0,ns,351726
read_bench,kvs,,,,30166639.0,ns,363072
read_bench,kvs,,,,33146031.0,ns,374418
read_bench,kvs,,,,32798008.0,ns,385764
read_bench,kvs,,,,35095556.0,ns,397110
read_bench,kvs,,,,37791329.0,ns,408456
read_bench,kvs,,,,37880935.0,ns,419802
read_bench,kvs,,,,34699631.0,ns,431148
read_bench,kvs,,,,36523948.0,ns,442494
read_bench,kvs,,,,42602439.0,ns,453840
read_bench,kvs,,,,44479159.0,ns,465186
read_bench,kvs,,,,40876128.0,ns,476532
read_bench,kvs,,,,42887357.0,ns,487878
read_bench,kvs,,,,42416325.0,ns,499224
read_bench,kvs,,,,42679340.0,ns,510570
read_bench,kvs,,,,43917820.0,ns,521916
read_bench,kvs,,,,46353876.0,ns,533262
read_bench,kvs,,,,50312330.0,ns,544608
read_bench,kvs,,,,53495734.0,ns,555954
read_bench,kvs,,,,46727700.0,ns,567300
read_bench,kvs,,,,54388692.0,ns,578646
read_bench,kvs,,,,46355076.0,ns,589992
read_bench,kvs,,,,52692983.0,ns,601338
read_bench,kvs,,,,52754087.0,ns,612684
read_bench,kvs,,,,55840885.0,ns,624030
read_bench,kvs,,,,64322829.0,ns,635376
read_bench,kvs,,,,54905925.0,ns,646722
read_bench,kvs,,,,57722306.0,ns,658068
read_bench,kvs,,,,60544387.0,ns,669414
read_bench,kvs,,,,69723377.0,ns,680760
read_bench,kvs,,,,61809368.0,ns,692106
read_bench,kvs,,,,59295204.0,ns,703452
read_bench,kvs,,,,63953801.0,ns,714798
read_bench,kvs,,,,62311095.0,ns,726144
read_bench,kvs,,,,63050842.0,ns,737490
read_bench,kvs,,,,65742415.0,ns,748836
read_bench,kvs,,,,65237383.0,ns,760182
read_bench,kvs,,,,63554274.0,ns,771528
read_bench,kvs,,,,69438052.0,ns,782874
read_bench,kvs,,,,73016881.0,ns,794220
read_bench,kvs,,,,67111203.0,ns,805566
read_bench,kvs,,,,70569125.0,ns,816912
read_bench,kvs,,,,70260105.0,ns,828258
read_bench,kvs,,,,70578125.0,ns,839604
read_bench,kvs,,,,75753457.0,ns,850950
read_bench,kvs,,,,85090153.0,ns,862296
read_bench,kvs,,,,78488026.0,ns,873642
read_bench,kvs,,,,72215624.0,ns,884988
read_bench,kvs,,,,74270355.0,ns,896334
read_bench,kvs,,,,85708688.0,ns,907680
read_bench,kvs,,,,96189759.0,ns,919026
read_bench,kvs,,,,91615566.0,ns,930372
read_bench,kvs,,,,83938075.0,ns,941718
read_bench,kvs,,,,81392212.0,ns,953064
read_bench,kvs,,,,82369375.0,ns,964410
read_bench,kvs,,,,80520356.0,ns,975756
read_bench,kvs,,,,88603773.0,ns,987102
read_bench,kvs,,,,90647099.0,ns,998448
read_bench,kvs,,,,90617895.0,ns,1009794
read_bench,kvs,,,,92933943.0,ns,1021140
read_bench,kvs,,,,89478322.0,ns,1032486
read_bench,kvs,,,,98140476.0,ns,1043832
read_bench,kvs,,,,90809607.0,ns,1055178
read_bench,kvs,,,,89976854.0,ns,1066524
read_bench,kvs,,,,97961764.0,ns,1077870
read_bench,kvs,,,,98033669.0,ns,1089216
read_bench,kvs,,,,94463241.0,ns,1100562
read_bench,kvs,,,,105182224.0,ns,1111908
read_bench,kvs,,,,94994667.0,ns,1123254
read_bench,kvs,,,,97471025.0,ns,1134600
