group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
write_bench,kvs,,,,974621.0,ns,4
write_bench,kvs,,,,1918742.0,ns,8
write_bench,kvs,,,,2857163.0,ns,12
write_bench,kvs,,,,3871084.0,ns,16
write_bench,kvs,,,,4725003.0,ns,20
write_bench,kvs,,,,5705928.0,ns,24
write_bench,kvs,,,,6693848.0,ns,28
write_bench,kvs,,,,7635067.0,ns,32
write_bench,kvs,,,,8512387.0,ns,36
write_bench,kvs,,,,9472407.0,ns,40
write_bench,kvs,,,,10402627.0,ns,44
write_bench,kvs,,,,11276046.0,ns,48
write_bench,kvs,,,,12212369.0,ns,52
write_bench,kvs,,,,13301890.0,ns,56
write_bench,kvs,,,,14195712.0,ns,60
write_bench,kvs,,,,15081230.0,ns,64
write_bench,kvs,,,,16554863.0,ns,68
write_bench,kvs,,,,17406483.0,ns,72
write_bench,kvs,,,,18028196.0,ns,76
write_bench,kvs,,,,18771214.0,ns,80
write_bench,kvs,,,,19755534.0,ns,84
write_bench,kvs,,,,20673555.0,ns,88
write_bench,kvs,,,,21681277.0,ns,92
write_bench,kvs,,,,22540796.0,ns,96
write_bench,kvs,,,,23529015.0,ns,100
write_bench,kvs,,,,24326632.0,ns,104
write_bench,kvs,,,,25358055.0,ns,108
write_bench,kvs,,,,26577584.0,ns,112
write_bench,kvs,,,,27210495.0,ns,116
write_bench,kvs,,,,28166820.0,ns,120
write_bench,kvs,,,,29079338.0,ns,124
write_bench,kvs,,,,29959658.0,ns,128
write_bench,kvs,,,,31116180.0,ns,132
write_bench,kvs,,,,31838099.0,ns,136
write_bench,kvs,,,,33875543.0,ns,140
write_bench,kvs,,,,33588634.0,ns,144
write_bench,kvs,,,,35079868.0,ns,148
write_bench,kvs,,,,35584679.0,ns,152
write_bench,kvs,,,,36571001.0,ns,156
write_bench,kvs,,,,37432422.0,ns,160
write_bench,kvs,,,,38488043.0,ns,164
write_bench,kvs,,,,39277960.0,ns,168
write_bench,kvs,,,,40596487.0,ns,172
write_bench,kvs,,,,41361208.0,ns,176
write_bench,kvs,,,,42042519.0,ns,180
write_bench,kvs,,,,44365871.0,ns,184
write_bench,kvs,,,,48556965.0,ns,188
write_bench,kvs,,,,45218091.0,ns,192
write_bench,kvs,,,,45879200.0,ns,196
write_bench,kvs,,,,46979925.0,ns,200
write_bench,kvs,,,,47913745.0,ns,204
write_bench,kvs,,,,50020594.0,ns,208
write_bench,kvs,,,,50878013.0,ns,212
write_bench,kvs,,,,50776906.0,ns,216
write_bench,kvs,,,,61619846.0,ns,220
write_bench,kvs,,,,52358843.0,ns,224
write_bench,kvs,,,,53412564.0,ns,228
write_bench,kvs,,,,54504390.0,ns,232
write_bench,kvs,,,,55255707.0,ns,236
write_bench,kvs,,,,56133928.0,ns,240
write_bench,kvs,,,,57505758.0,ns,244
write_bench,kvs,,,,58328873.0,ns,248
write_bench,kvs,,,,58887486.0,ns,252
write_bench,kvs,,,,59821906.0,ns,256
write_bench,kvs,,,,60696321.0,ns,260
write_bench,kvs,,,,61638842.0,ns,264
write_bench,kvs,,,,62699665.0,ns,268
write_bench,kvs,,,,63378278.0,ns,272
write_bench,kvs,,,,64522205.0,ns,276
write_bench,kvs,,,,65348424.0,ns,280
write_bench,kvs,,,,66406046.0,ns,284
write_bench,kvs,,,,67097059.0,ns,288
write_bench,kvs,,,,68215287.0,ns,292
write_bench,kvs,,,,69344011.0,ns,296
write_bench,kvs,,,,73197795.0,ns,300
write_bench,kvs,,,,70961646.0,ns,304
write_bench,kvs,,,,72820184.0,ns,308
write_bench,kvs,,,,73069485.0,ns,312
write_bench,kvs,,,,73924606.0,ns,316
write_bench,kvs,,,,74849526.0,ns,320
write_bench,kvs,,,,76002650.0,ns,324
write_bench,kvs,,,,76624465.0,ns,328
write_bench,kvs,,,,77709186.0,ns,332
write_bench,kvs,,,,78618504.0,ns,336
write_bench,kvs,,,,79664929.0,ns,340
write_bench,kvs,,,,80696753.0,ns,344
write_bench,kvs,,,,81629771.0,ns,348
write_bench,kvs,,,,82357481.0,ns,352
write_bench,kvs,,,,83264303.0,ns,356
write_bench,kvs,,,,84085717.0,ns,360
write_bench,kvs,,,,85935262.0,ns,364
write_bench,kvs,,,,86164567.0,ns,368
write_bench,kvs,,,,87638298.0,ns,372
write_bench,kvs,,,,88350913.0,ns,376
write_bench,kvs,,,,88977125.0,ns,380
write_bench,kvs,,,,90351156.0,ns,384
write_bench,kvs,,,,93420618.0,ns,388
write_bench,kvs,,,,91580576.0,ns,392
write_bench,kvs,,,,108242636.0,ns,396
write_bench,kvs,,,,94169233.0,ns,400
