group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rayon_kvs_read,,2,,,626029.0,ns,4
rayon_kvs_read,,2,,,1925512.0,ns,8
rayon_kvs_read,,2,,,2474449.0,ns,12
rayon_kvs_read,,2,,,2661642.0,ns,16
rayon_kvs_read,,2,,,3579699.0,ns,20
rayon_kvs_read,,2,,,4402480.0,ns,24
rayon_kvs_read,,2,,,1917861.0,ns,28
rayon_kvs_read,,2,,,4750712.0,ns,32
rayon_kvs_read,,2,,,3126710.0,ns,36
rayon_kvs_read,,2,,,4782454.0,ns,40
rayon_kvs_read,,2,,,4383077.0,ns,44
rayon_kvs_read,,2,,,5847158.0,ns,48
rayon_kvs_read,,2,,,4512616.0,ns,52
rayon_kvs_read,,2,,,4818163.0,ns,56
rayon_kvs_read,,2,,,4814138.0,ns,60
rayon_kvs_read,,2,,,5801395.0,ns,64
rayon_kvs_read,,2,,,5196468.0,ns,68
rayon_kvs_read,,2,,,5903430.0,ns,72
rayon_kvs_read,,2,,,10311843.0,ns,76
rayon_kvs_read,,2,,,7890825.0,ns,80
rayon_kvs_read,,2,,,10201635.0,ns,84
rayon_kvs_read,,2,,,6933558.0,ns,88
rayon_kvs_read,,2,,,6704116.0,ns,92
rayon_kvs_read,,2,,,11206417.0,ns,96
rayon_kvs_read,,2,,,8730104.0,ns,100
rayon_kvs_read,,2,,,8510721.0,ns,104
rayon_kvs_read,,2,,,8930974.0,ns,108
rayon_kvs_read,,2,,,8580379.0,ns,112
rayon_kvs_read,,2,,,8781293.0,ns,116
rayon_kvs_read,,2,,,12915363.0,ns,120
rayon_kvs_read,,2,,,9477708.0,ns,124
rayon_kvs_read,,2,,,11472271.0,ns,128
rayon_kvs_read,,2,,,12168915.0,ns,132
rayon_kvs_read,,2,,,11018592.0,ns,136
rayon_kvs_read,,2,,,11144327.0,ns,140
rayon_kvs_read,,2,,,10717366.0,ns,144
rayon_kvs_read,,2,,,9979360.0,ns,148
rayon_kvs_read,,2,,,11006859.0,ns,152
rayon_kvs_read,,2,,,7828771.0,ns,156
rayon_kvs_read,,2,,,10593469.0,ns,160
rayon_kvs_read,,2,,,13446605.0,ns,164
rayon_kvs_read,,2,,,10766929.0,ns,168
rayon_kvs_read,,2,,,16418278.0,ns,172
rayon_kvs_read,,2,,,12500486.0,ns,176
rayon_kvs_read,,2,,,12142187.0,ns,180
rayon_kvs_read,,2,,,12894256.0,ns,184
rayon_kvs_read,,2,,,8613202.0,ns,188
rayon_kvs_read,,2,,,11392291.0,ns,192
rayon_kvs_read,,2,,,9334186.0,ns,196
rayon_kvs_read,,2,,,13321274.0,ns,200
rayon_kvs_read,,2,,,12040522.0,ns,204
rayon_kvs_read,,2,,,11372944.0,ns,208
rayon_kvs_read,,2,,,15246558.0,ns,212
rayon_kvs_read,,2,,,13578534.0,ns,216
rayon_kvs_read,,2,,,12394336.0,ns,220
rayon_kvs_read,,2,,,14671071.0,ns,224
rayon_kvs_read,,2,,,17373167.0,ns,228
rayon_kvs_read,,2,,,14862765.0,ns,232
rayon_kvs_read,,2,,,14669071.0,ns,236
rayon_kvs_read,,2,,,12934011.0,ns,240
rayon_kvs_read,,2,,,23992277.0,ns,244
rayon_kvs_read,,2,,,13339823.0,ns,248
rayon_kvs_read,,2,,,16983690.0,ns,252
rayon_kvs_read,,2,,,17686759.0,ns,256
rayon_kvs_read,,2,,,17206221.0,ns,260
rayon_kvs_read,,2,,,16481835.0,ns,264
rayon_kvs_read,,2,,,18389830.0,ns,268
rayon_kvs_read,,2,,,13938626.0,ns,272
rayon_kvs_read,,2,,,12617727.0,ns,276
rayon_kvs_read,,2,,,18594556.0,ns,280
rayon_kvs_read,,2,,,16806862.0,ns,284
rayon_kvs_read,,2,,,13151978.0,ns,288
rayon_kvs_read,,2,,,18482938.0,ns,292
rayon_kvs_read,,2,,,18872496.0,ns,296
rayon_kvs_read,,2,,,19097201.0,ns,300
rayon_kvs_read,,2,,,13837522.0,ns,304
rayon_kvs_read,,2,,,19085381.0,ns,308
rayon_kvs_read,,2,,,18953394.0,ns,312
rayon_kvs_read,,2,,,19409254.0,ns,316
rayon_kvs_read,,2,,,20708308.0,ns,320
rayon_kvs_read,,2,,,25087471.0,ns,324
rayon_kvs_read,,2,,,18321669.0,ns,328
rayon_kvs_read,,2,,,20464397.0,ns,332
rayon_kvs_read,,2,,,20779356.0,ns,336
rayon_kvs_read,,2,,,21999643.0,ns,340
rayon_kvs_read,,2,,,20383614.0,ns,344
rayon_kvs_read,,2,,,21309538.0,ns,348
rayon_kvs_read,,2,,,28947446.0,ns,352
rayon_kvs_read,,2,,,18668596.0,ns,356
rayon_kvs_read,,2,,,19236354.0,ns,360
rayon_kvs_read,,2,,,21546088.0,ns,364
rayon_kvs_read,,2,,,19594543.0,ns,368
rayon_kvs_read,,2,,,19033962.0,ns,372
rayon_kvs_read,,2,,,21746387.0,ns,376
rayon_kvs_read,,2,,,20803484.0,ns,380
rayon_kvs_read,,2,,,20771315.0,ns,384
rayon_kvs_read,,2,,,21528846.0,ns,388
rayon_kvs_read,,2,,,22022678.0,ns,392
rayon_kvs_read,,2,,,21879155.0,ns,396
rayon_kvs_read,,2,,,22318543.0,ns,400
