group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rayon_kvs_write,,2,,,6675259.0,ns,1
rayon_kvs_write,,2,,,14946585.0,ns,2
rayon_kvs_write,,2,,,15378720.0,ns,3
rayon_kvs_write,,2,,,18817789.0,ns,4
rayon_kvs_write,,2,,,17994524.0,ns,5
rayon_kvs_write,,2,,,24760507.0,ns,6
rayon_kvs_write,,2,,,24753921.0,ns,7
rayon_kvs_write,,2,,,19853491.0,ns,8
rayon_kvs_write,,2,,,31144470.0,ns,9
rayon_kvs_write,,2,,,34385652.0,ns,10
rayon_kvs_write,,2,,,36094772.0,ns,11
rayon_kvs_write,,2,,,36163313.0,ns,12
rayon_kvs_write,,2,,,39782767.0,ns,13
rayon_kvs_write,,2,,,41408908.0,ns,14
rayon_kvs_write,,2,,,44055181.0,ns,15
rayon_kvs_write,,2,,,55058757.0,ns,16
rayon_kvs_write,,2,,,53760464.0,ns,17
rayon_kvs_write,,2,,,54293362.0,ns,18
rayon_kvs_write,,2,,,51506510.0,ns,19
rayon_kvs_write,,2,,,54037089.0,ns,20
rayon_kvs_write,,2,,,65920889.0,ns,21
rayon_kvs_write,,2,,,62766507.0,ns,22
rayon_kvs_write,,2,,,60254218.0,ns,23
rayon_kvs_write,,2,,,69857672.0,ns,24
rayon_kvs_write,,2,,,65376314.0,ns,25
rayon_kvs_write,,2,,,70240318.0,ns,26
rayon_kvs_write,,2,,,74135100.0,ns,27
rayon_kvs_write,,2,,,65533805.0,ns,28
rayon_kvs_write,,2,,,77646909.0,ns,29
rayon_kvs_write,,2,,,78271797.0,ns,30
rayon_kvs_write,,2,,,84999202.0,ns,31
rayon_kvs_write,,2,,,83818031.0,ns,32
rayon_kvs_write,,2,,,90294487.0,ns,33
rayon_kvs_write,,2,,,92378566.0,ns,34
rayon_kvs_write,,2,,,103981606.0,ns,35
rayon_kvs_write,,2,,,98037678.0,ns,36
rayon_kvs_write,,2,,,101542865.0,ns,37
rayon_kvs_write,,2,,,100025995.0,ns,38
rayon_kvs_write,,2,,,103333101.0,ns,39
rayon_kvs_write,,2,,,105850298.0,ns,40
rayon_kvs_write,,2,,,109635616.0,ns,41
rayon_kvs_write,,2,,,126364562.0,ns,42
rayon_kvs_write,,2,,,111120149.0,ns,43
rayon_kvs_write,,2,,,119253942.0,ns,44
rayon_kvs_write,,2,,,123132223.0,ns,45
rayon_kvs_write,,2,,,117904447.0,ns,46
rayon_kvs_write,,2,,,131805400.0,ns,47
rayon_kvs_write,,2,,,131709729.0,ns,48
rayon_kvs_write,,2,,,140698924.0,ns,49
rayon_kvs_write,,2,,,129988970.0,ns,50
rayon_kvs_write,,2,,,137031957.0,ns,51
rayon_kvs_write,,2,,,133705060.0,ns,52
rayon_kvs_write,,2,,,149858029.0,ns,53
rayon_kvs_write,,2,,,138524664.0,ns,54
rayon_kvs_write,,2,,,150541354.0,ns,55
rayon_kvs_write,,2,,,144333543.0,ns,56
rayon_kvs_write,,2,,,146513692.0,ns,57
rayon_kvs_write,,2,,,157389862.0,ns,58
rayon_kvs_write,,2,,,147924990.0,ns,59
rayon_kvs_write,,2,,,152986909.0,ns,60
rayon_kvs_write,,2,,,172812471.0,ns,61
rayon_kvs_write,,2,,,163316362.0,ns,62
rayon_kvs_write,,2,,,143818299.0,ns,63
rayon_kvs_write,,2,,,171834809.0,ns,64
rayon_kvs_write,,2,,,197721585.0,ns,65
rayon_kvs_write,,2,,,153107777.0,ns,66
rayon_kvs_write,,2,,,164372189.0,ns,67
rayon_kvs_write,,2,,,195651475.0,ns,68
rayon_kvs_write,,2,,,172930569.0,ns,69
rayon_kvs_write,,2,,,185510093.0,ns,70
rayon_kvs_write,,2,,,209650436.0,ns,71
rayon_kvs_write,,2,,,192634637.0,ns,72
rayon_kvs_write,,2,,,186342329.0,ns,73
rayon_kvs_write,,2,,,194286847.0,ns,74
rayon_kvs_write,,2,,,184768421.0,ns,75
rayon_kvs_write,,2,,,194850179.0,ns,76
rayon_kvs_write,,2,,,194961522.0,ns,77
rayon_kvs_write,,2,,,202418545.0,ns,78
rayon_kvs_write,,2,,,209241338.0,ns,79
rayon_kvs_write,,2,,,206130950.0,ns,80
rayon_kvs_write,,2,,,197113600.0,ns,81
rayon_kvs_write,,2,,,221831971.0,ns,82
rayon_kvs_write,,2,,,220178673.0,ns,83
rayon_kvs_write,,2,,,219093996.0,ns,84
rayon_kvs_write,,2,,,195025472.0,ns,85
rayon_kvs_write,,2,,,223969327.0,ns,86
rayon_kvs_write,,2,,,227750135.0,ns,87
rayon_kvs_write,,2,,,230631073.0,ns,88
rayon_kvs_write,,2,,,224681531.0,ns,89
rayon_kvs_write,,2,,,247067197.0,ns,90
rayon_kvs_write,,2,,,240483813.0,ns,91
rayon_kvs_write,,2,,,254205824.0,ns,92
rayon_kvs_write,,2,,,230631360.0,ns,93
rayon_kvs_write,,2,,,225312292.0,ns,94
rayon_kvs_write,,2,,,282277951.0,ns,95
rayon_kvs_write,,2,,,257350665.0,ns,96
rayon_kvs_write,,2,,,249181967.0,ns,97
rayon_kvs_write,,2,,,244327203.0,ns,98
rayon_kvs_write,,2,,,251434044.0,ns,99
rayon_kvs_write,,2,,,253947957.0,ns,100
