group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rayon_kvs_write,,8,,,9243131.0,ns,1
rayon_kvs_write,,8,,,14454673.0,ns,2
rayon_kvs_write,,8,,,17775828.0,ns,3
rayon_kvs_write,,8,,,17124276.0,ns,4
rayon_kvs_write,,8,,,23068941.0,ns,5
rayon_kvs_write,,8,,,27223824.0,ns,6
rayon_kvs_write,,8,,,25572668.0,ns,7
rayon_kvs_write,,8,,,32969885.0,ns,8
rayon_kvs_write,,8,,,37618944.0,ns,9
rayon_kvs_write,,8,,,32436688.0,ns,10
rayon_kvs_write,,8,,,42582896.0,ns,11
rayon_kvs_write,,8,,,43569837.0,ns,12
rayon_kvs_write,,8,,,44630709.0,ns,13
rayon_kvs_write,,8,,,59574292.0,ns,14
rayon_kvs_write,,8,,,51208361.0,ns,15
rayon_kvs_write,,8,,,52875380.0,ns,16
rayon_kvs_write,,8,,,55161425.0,ns,17
rayon_kvs_write,,8,,,63837825.0,ns,18
rayon_kvs_write,,8,,,68808499.0,ns,19
rayon_kvs_write,,8,,,66747668.0,ns,20
rayon_kvs_write,,8,,,68003567.0,ns,21
rayon_kvs_write,,8,,,78296015.0,ns,22
rayon_kvs_write,,8,,,70251991.0,ns,23
rayon_kvs_write,,8,,,79302817.0,ns,24
rayon_kvs_write,,8,,,78731753.0,ns,25
rayon_kvs_write,,8,,,81127711.0,ns,26
rayon_kvs_write,,8,,,86450905.0,ns,27
rayon_kvs_write,,8,,,84021119.0,ns,28
rayon_kvs_write,,8,,,95448044.0,ns,29
rayon_kvs_write,,8,,,88799852.0,ns,30
rayon_kvs_write,,8,,,100260512.0,ns,31
rayon_kvs_write,,8,,,96398758.0,ns,32
rayon_kvs_write,,8,,,104402345.0,ns,33
rayon_kvs_write,,8,,,98589721.0,ns,34
rayon_kvs_write,,8,,,109610743.0,ns,35
rayon_kvs_write,,8,,,97268441.0,ns,36
rayon_kvs_write,,8,,,108107954.0,ns,37
rayon_kvs_write,,8,,,119490806.0,ns,38
rayon_kvs_write,,8,,,119940932.0,ns,39
rayon_kvs_write,,8,,,133452914.0,ns,40
rayon_kvs_write,,8,,,126208969.0,ns,41
rayon_kvs_write,,8,,,120358740.0,ns,42
rayon_kvs_write,,8,,,137139748.0,ns,43
rayon_kvs_write,,8,,,133336852.0,ns,44
rayon_kvs_write,,8,,,142481627.0,ns,45
rayon_kvs_write,,8,,,140501741.0,ns,46
rayon_kvs_write,,8,,,144700676.0,ns,47
rayon_kvs_write,,8,,,149020730.0,ns,48
rayon_kvs_write,,8,,,146439689.0,ns,49
rayon_kvs_write,,8,,,148941366.0,ns,50
rayon_kvs_write,,8,,,149984770.0,ns,51
rayon_kvs_write,,8,,,160633343.0,ns,52
rayon_kvs_write,,8,,,154166716.0,ns,53
rayon_kvs_write,,8,,,168566350.0,ns,54
rayon_kvs_write,,8,,,157120954.0,ns,55
rayon_kvs_write,,8,,,162158267.0,ns,56
rayon_kvs_write,,8,,,178027819.0,ns,57
rayon_kvs_write,,8,,,182531390.0,ns,58
rayon_kvs_write,,8,,,170253156.0,ns,59
rayon_kvs_write,,8,,,178341802.0,ns,60
rayon_kvs_write,,8,,,180126552.0,ns,61
rayon_kvs_write,,8,,,190334008.0,ns,62
rayon_kvs_write,,8,,,196898870.0,ns,63
rayon_kvs_write,,8,,,202599593.0,ns,64
rayon_kvs_write,,8,,,201218267.0,ns,65
rayon_kvs_write,,8,,,202528679.0,ns,66
rayon_kvs_write,,8,,,204512289.0,ns,67
rayon_kvs_write,,8,,,204231971.0,ns,68
rayon_kvs_write,,8,,,209795336.0,ns,69
rayon_kvs_write,,8,,,209238800.0,ns,70
rayon_kvs_write,,8,,,206473933.0,ns,71
rayon_kvs_write,,8,,,206903866.0,ns,72
rayon_kvs_write,,8,,,208337564.0,ns,73
rayon_kvs_write,,8,,,231594142.0,ns,74
rayon_kvs_write,,8,,,219963404.0,ns,75
rayon_kvs_write,,8,,,229040115.0,ns,76
rayon_kvs_write,,8,,,240928158.0,ns,77
rayon_kvs_write,,8,,,226776719.0,ns,78
rayon_kvs_write,,8,,,239396494.0,ns,79
rayon_kvs_write,,8,,,231807640.0,ns,80
rayon_kvs_write,,8,,,243610140.0,ns,81
rayon_kvs_write,,8,,,242395434.0,ns,82
rayon_kvs_write,,8,,,247171969.0,ns,83
rayon_kvs_write,,8,,,241281844.0,ns,84
rayon_kvs_write,,8,,,253258283.0,ns,85
rayon_kvs_write,,8,,,258619086.0,ns,86
rayon_kvs_write,,8,,,265249032.0,ns,87
rayon_kvs_write,,8,,,268556670.0,ns,88
rayon_kvs_write,,8,,,270037773.0,ns,89
rayon_kvs_write,,8,,,261635842.0,ns,90
rayon_kvs_write,,8,,,271490173.0,ns,91
rayon_kvs_write,,8,,,279414425.0,ns,92
rayon_kvs_write,,8,,,272347536.0,ns,93
rayon_kvs_write,,8,,,281950997.0,ns,94
rayon_kvs_write,,8,,,280643367.0,ns,95
rayon_kvs_write,,8,,,293085147.0,ns,96
rayon_kvs_write,,8,,,274212160.0,ns,97
rayon_kvs_write,,8,,,302195444.0,ns,98
rayon_kvs_write,,8,,,306416647.0,ns,99
rayon_kvs_write,,8,,,302395657.0,ns,100
