group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rayon_sled_write,,2,,,69149996.0,ns,1
rayon_sled_write,,2,,,117375098.0,ns,2
rayon_sled_write,,2,,,185829258.0,ns,3
rayon_sled_write,,2,,,236564196.0,ns,4
rayon_sled_write,,2,,,279067328.0,ns,5
rayon_sled_write,,2,,,358258830.0,ns,6
rayon_sled_write,,2,,,406781236.0,ns,7
rayon_sled_write,,2,,,441239153.0,ns,8
rayon_sled_write,,2,,,533999901.0,ns,9
rayon_sled_write,,2,,,558498395.0,ns,10
rayon_sled_write,,2,,,653656021.0,ns,11
rayon_sled_write,,2,,,663602402.0,ns,12
rayon_sled_write,,2,,,753238988.0,ns,13
rayon_sled_write,,2,,,787432629.0,ns,14
rayon_sled_write,,2,,,818238859.0,ns,15
rayon_sled_write,,2,,,918904760.0,ns,16
rayon_sled_write,,2,,,1025047696.0,ns,17
rayon_sled_write,,2,,,989166504.0,ns,18
rayon_sled_write,,2,,,1002119827.0,ns,19
rayon_sled_write,,2,,,1052918810.0,ns,20
rayon_sled_write,,2,,,1162071462.0,ns,21
rayon_sled_write,,2,,,1166423841.0,ns,22
rayon_sled_write,,2,,,1273267559.0,ns,23
rayon_sled_write,,2,,,1300525796.0,ns,24
rayon_sled_write,,2,,,1314416686.0,ns,25
rayon_sled_write,,2,,,1420778708.0,ns,26
rayon_sled_write,,2,,,1495076259.0,ns,27
rayon_sled_write,,2,,,1526166370.0,ns,28
rayon_sled_write,,2,,,1582501516.0,ns,29
rayon_sled_write,,2,,,1684852433.0,ns,30
rayon_sled_write,,2,,,1722374180.0,ns,31
rayon_sled_write,,2,,,1593728816.0,ns,32
rayon_sled_write,,2,,,1827939736.0,ns,33
rayon_sled_write,,2,,,1868386510.0,ns,34
rayon_sled_write,,2,,,1874054310.0,ns,35
rayon_sled_write,,2,,,1930092970.0,ns,36
rayon_sled_write,,2,,,1940911076.0,ns,37
rayon_sled_write,,2,,,2062150510.0,ns,38
rayon_sled_write,,2,,,2173366811.0,ns,39
rayon_sled_write,,2,,,2187739909.0,ns,40
rayon_sled_write,,2,,,2150967330.0,ns,41
rayon_sled_write,,2,,,2235359513.0,ns,42
rayon_sled_write,,2,,,2171039970.0,ns,43
rayon_sled_write,,2,,,2410339885.0,ns,44
rayon_sled_write,,2,,,2298198933.0,ns,45
rayon_sled_write,,2,,,2503448606.0,ns,46
rayon_sled_write,,2,,,2555278940.0,ns,47
rayon_sled_write,,2,,,2613040159.0,ns,48
rayon_sled_write,,2,,,2645093517.0,ns,49
rayon_sled_write,,2,,,2753730268.0,ns,50
rayon_sled_write,,2,,,2781865312.0,ns,51
rayon_sled_write,,2,,,2716342968.0,ns,52
rayon_sled_write,,2,,,2679353900.0,ns,53
rayon_sled_write,,2,,,3004374212.0,ns,54
rayon_sled_write,,2,,,2820202345.0,ns,55
rayon_sled_write,,2,,,3050104591.0,ns,56
rayon_sled_write,,2,,,3094018194.0,ns,57
rayon_sled_write,,2,,,3153283173.0,ns,58
rayon_sled_write,,2,,,3039347042.0,ns,59
rayon_sled_write,,2,,,3511283765.0,ns,60
rayon_sled_write,,2,,,3145856330.0,ns,61
rayon_sled_write,,2,,,3282291194.0,ns,62
rayon_sled_write,,2,,,3429363589.0,ns,63
rayon_sled_write,,2,,,3596638061.0,ns,64
rayon_sled_write,,2,,,3447506206.0,ns,65
rayon_sled_write,,2,,,3669720132.0,ns,66
rayon_sled_write,,2,,,3533709144.0,ns,67
rayon_sled_write,,2,,,3481923521.0,ns,68
rayon_sled_write,,2,,,3719304058.0,ns,69
rayon_sled_write,,2,,,4795940069.0,ns,70
rayon_sled_write,,2,,,17969708521.0,ns,71
rayon_sled_write,,2,,,4020402677.0,ns,72
rayon_sled_write,,2,,,4063296917.0,ns,73
rayon_sled_write,,2,,,3929135607.0,ns,74
rayon_sled_write,,2,,,4213920813.0,ns,75
rayon_sled_write,,2,,,4031122782.0,ns,76
rayon_sled_write,,2,,,3701683683.0,ns,77
rayon_sled_write,,2,,,4260148937.0,ns,78
rayon_sled_write,,2,,,4249401888.0,ns,79
rayon_sled_write,,2,,,4386767092.0,ns,80
rayon_sled_write,,2,,,4315287234.0,ns,81
rayon_sled_write,,2,,,4651800850.0,ns,82
rayon_sled_write,,2,,,4549974096.0,ns,83
rayon_sled_write,,2,,,4423356995.0,ns,84
rayon_sled_write,,2,,,4465065426.0,ns,85
rayon_sled_write,,2,,,4472531655.0,ns,86
rayon_sled_write,,2,,,4884368562.0,ns,87
rayon_sled_write,,2,,,4825845862.0,ns,88
rayon_sled_write,,2,,,4931358115.0,ns,89
rayon_sled_write,,2,,,4593673596.0,ns,90
rayon_sled_write,,2,,,4812814186.0,ns,91
rayon_sled_write,,2,,,4996006850.0,ns,92
rayon_sled_write,,2,,,4856415189.0,ns,93
rayon_sled_write,,2,,,4881499994.0,ns,94
rayon_sled_write,,2,,,5194712698.0,ns,95
rayon_sled_write,,2,,,5123452714.0,ns,96
rayon_sled_write,,2,,,7889031911.0,ns,97
rayon_sled_write,,2,,,26521814767.0,ns,98
rayon_sled_write,,2,,,5429671143.0,ns,99
rayon_sled_write,,2,,,5471932316.0,ns,100
