group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
shared_queue_kvs,,,,,1519899.0,ns,2
shared_queue_kvs,,,,,2859099.0,ns,4
shared_queue_kvs,,,,,6025997.0,ns,6
shared_queue_kvs,,,,,4728097.0,ns,8
shared_queue_kvs,,,,,7469296.0,ns,10
shared_queue_kvs,,,,,7872795.0,ns,12
shared_queue_kvs,,,,,13206493.0,ns,14
shared_queue_kvs,,,,,9704094.0,ns,16
shared_queue_kvs,,,,,14854992.0,ns,18
shared_queue_kvs,,,,,20644689.0,ns,20
shared_queue_kvs,,,,,15034492.0,ns,22
shared_queue_kvs,,,,,17765190.0,ns,24
shared_queue_kvs,,,,,15014992.0,ns,26
shared_queue_kvs,,,,,15766591.0,ns,28
shared_queue_kvs,,,,,19496989.0,ns,30
shared_queue_kvs,,,,,22772587.0,ns,32
shared_queue_kvs,,,,,23117587.0,ns,34
shared_queue_kvs,,,,,23500387.0,ns,36
shared_queue_kvs,,,,,25694186.0,ns,38
shared_queue_kvs,,,,,29436283.0,ns,40
shared_queue_kvs,,,,,27621385.0,ns,42
shared_queue_kvs,,,,,29740683.0,ns,44
shared_queue_kvs,,,,,27209585.0,ns,46
shared_queue_kvs,,,,,31312182.0,ns,48
shared_queue_kvs,,,,,35750380.0,ns,50
shared_queue_kvs,,,,,30590083.0,ns,52
shared_queue_kvs,,,,,32055782.0,ns,54
shared_queue_kvs,,,,,35805780.0,ns,56
shared_queue_kvs,,,,,34467781.0,ns,58
shared_queue_kvs,,,,,34818980.0,ns,60
shared_queue_kvs,,,,,34728981.0,ns,62
shared_queue_kvs,,,,,37019779.0,ns,64
shared_queue_kvs,,,,,37937179.0,ns,66
shared_queue_kvs,,,,,39364678.0,ns,68
shared_queue_kvs,,,,,41198877.0,ns,70
shared_queue_kvs,,,,,43519276.0,ns,72
shared_queue_kvs,,,,,41987477.0,ns,74
shared_queue_kvs,,,,,40699577.0,ns,76
shared_queue_kvs,,,,,48169573.0,ns,78
shared_queue_kvs,,,,,43529675.0,ns,80
shared_queue_kvs,,,,,49489773.0,ns,82
shared_queue_kvs,,,,,50421471.0,ns,84
shared_queue_kvs,,,,,53634870.0,ns,86
shared_queue_kvs,,,,,53411170.0,ns,88
shared_queue_kvs,,,,,54831169.0,ns,90
shared_queue_kvs,,,,,55546669.0,ns,92
shared_queue_kvs,,,,,64563764.0,ns,94
shared_queue_kvs,,,,,51857171.0,ns,96
shared_queue_kvs,,,,,55513469.0,ns,98
shared_queue_kvs,,,,,54072969.0,ns,100
shared_queue_kvs,,,,,60549567.0,ns,102
shared_queue_kvs,,,,,54449169.0,ns,104
shared_queue_kvs,,,,,62009466.0,ns,106
shared_queue_kvs,,,,,61114566.0,ns,108
shared_queue_kvs,,,,,63477165.0,ns,110
shared_queue_kvs,,,,,73135359.0,ns,112
shared_queue_kvs,,,,,69908461.0,ns,114
shared_queue_kvs,,,,,62736465.0,ns,116
shared_queue_kvs,,,,,76739357.0,ns,118
shared_queue_kvs,,,,,68395262.0,ns,120
shared_queue_kvs,,,,,71682560.0,ns,122
shared_queue_kvs,,,,,72096559.0,ns,124
shared_queue_kvs,,,,,85305252.0,ns,126
shared_queue_kvs,,,,,78872456.0,ns,128
shared_queue_kvs,,,,,84248253.0,ns,130
shared_queue_kvs,,,,,73924858.0,ns,132
shared_queue_kvs,,,,,79410155.0,ns,134
shared_queue_kvs,,,,,77358157.0,ns,136
shared_queue_kvs,,,,,82696153.0,ns,138
shared_queue_kvs,,,,,80495354.0,ns,140
shared_queue_kvs,,,,,85351252.0,ns,142
shared_queue_kvs,,,,,76379357.0,ns,144
shared_queue_kvs,,,,,94337148.0,ns,146
shared_queue_kvs,,,,,90124249.0,ns,148
shared_queue_kvs,,,,,86731251.0,ns,150
shared_queue_kvs,,,,,96303946.0,ns,152
shared_queue_kvs,,,,,91263249.0,ns,154
shared_queue_kvs,,,,,86860252.0,ns,156
shared_queue_kvs,,,,,94296147.0,ns,158
shared_queue_kvs,,,,,98761845.0,ns,160
shared_queue_kvs,,,,,100743544.0,ns,162
shared_queue_kvs,,,,,93780448.0,ns,164
shared_queue_kvs,,,,,99568944.0,ns,166
shared_queue_kvs,,,,,100566644.0,ns,168
shared_queue_kvs,,,,,98949545.0,ns,170
shared_queue_kvs,,,,,102669942.0,ns,172
shared_queue_kvs,,,,,103816342.0,ns,174
shared_queue_kvs,,,,,81909054.0,ns,176
shared_queue_kvs,,,,,109812139.0,ns,178
shared_queue_kvs,,,,,103969642.0,ns,180
shared_queue_kvs,,,,,111525438.0,ns,182
shared_queue_kvs,,,,,112363137.0,ns,184
shared_queue_kvs,,,,,108508039.0,ns,186
shared_queue_kvs,,,,,110475838.0,ns,188
shared_queue_kvs,,,,,123391431.0,ns,190
shared_queue_kvs,,,,,116262235.0,ns,192
shared_queue_kvs,,,,,119899833.0,ns,194
shared_queue_kvs,,,,,114321636.0,ns,196
shared_queue_kvs,,,,,115439035.0,ns,198
shared_queue_kvs,,,,,109890939.0,ns,200
