group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
shared_queue_kvs_read,,8,,,1337022.0,ns,10
shared_queue_kvs_read,,8,,,2220136.0,ns,20
shared_queue_kvs_read,,8,,,3170752.0,ns,30
shared_queue_kvs_read,,8,,,4301570.0,ns,40
shared_queue_kvs_read,,8,,,5380887.0,ns,50
shared_queue_kvs_read,,8,,,6130699.0,ns,60
shared_queue_kvs_read,,8,,,7347419.0,ns,70
shared_queue_kvs_read,,8,,,8435036.0,ns,80
shared_queue_kvs_read,,8,,,9158448.0,ns,90
shared_queue_kvs_read,,8,,,10829274.0,ns,100
shared_queue_kvs_read,,8,,,11484684.0,ns,110
shared_queue_kvs_read,,8,,,12942508.0,ns,120
shared_queue_kvs_read,,8,,,13506816.0,ns,130
shared_queue_kvs_read,,8,,,15135042.0,ns,140
shared_queue_kvs_read,,8,,,15546949.0,ns,150
shared_queue_kvs_read,,8,,,16079257.0,ns,160
shared_queue_kvs_read,,8,,,17616382.0,ns,170
shared_queue_kvs_read,,8,,,18219091.0,ns,180
shared_queue_kvs_read,,8,,,19867117.0,ns,190
shared_queue_kvs_read,,8,,,20750031.0,ns,200
shared_queue_kvs_read,,8,,,21787246.0,ns,210
shared_queue_kvs_read,,8,,,22212653.0,ns,220
shared_queue_kvs_read,,8,,,23312870.0,ns,230
shared_queue_kvs_read,,8,,,25428103.0,ns,240
shared_queue_kvs_read,,8,,,25702707.0,ns,250
shared_queue_kvs_read,,8,,,26630822.0,ns,260
shared_queue_kvs_read,,8,,,27605337.0,ns,270
shared_queue_kvs_read,,8,,,28841756.0,ns,280
shared_queue_kvs_read,,8,,,45064612.0,ns,290
shared_queue_kvs_read,,8,,,31300393.0,ns,300
shared_queue_kvs_read,,8,,,32389410.0,ns,310
shared_queue_kvs_read,,8,,,32624514.0,ns,320
shared_queue_kvs_read,,8,,,34126736.0,ns,330
shared_queue_kvs_read,,8,,,38628207.0,ns,340
shared_queue_kvs_read,,8,,,35298554.0,ns,350
shared_queue_kvs_read,,8,,,36101366.0,ns,360
shared_queue_kvs_read,,8,,,36887178.0,ns,370
shared_queue_kvs_read,,8,,,38416301.0,ns,380
shared_queue_kvs_read,,8,,,42371662.0,ns,390
shared_queue_kvs_read,,8,,,41527449.0,ns,400
shared_queue_kvs_read,,8,,,45822515.0,ns,410
shared_queue_kvs_read,,8,,,44637196.0,ns,420
shared_queue_kvs_read,,8,,,44779297.0,ns,430
shared_queue_kvs_read,,8,,,46059416.0,ns,440
shared_queue_kvs_read,,8,,,45150602.0,ns,450
shared_queue_kvs_read,,8,,,46609724.0,ns,460
shared_queue_kvs_read,,8,,,47855642.0,ns,470
shared_queue_kvs_read,,8,,,48892958.0,ns,480
shared_queue_kvs_read,,8,,,49758370.0,ns,490
shared_queue_kvs_read,,8,,,50811786.0,ns,500
shared_queue_kvs_read,,8,,,51586897.0,ns,510
shared_queue_kvs_read,,8,,,55221452.0,ns,520
shared_queue_kvs_read,,8,,,54896348.0,ns,530
shared_queue_kvs_read,,8,,,55424355.0,ns,540
shared_queue_kvs_read,,8,,,55898661.0,ns,550
shared_queue_kvs_read,,8,,,56720773.0,ns,560
shared_queue_kvs_read,,8,,,58470100.0,ns,570
shared_queue_kvs_read,,8,,,60963337.0,ns,580
shared_queue_kvs_read,,8,,,61470344.0,ns,590
shared_queue_kvs_read,,8,,,63346271.0,ns,600
shared_queue_kvs_read,,8,,,65177899.0,ns,610
shared_queue_kvs_read,,8,,,64488587.0,ns,620
shared_queue_kvs_read,,8,,,73406823.0,ns,630
shared_queue_kvs_read,,8,,,64483686.0,ns,640
shared_queue_kvs_read,,8,,,65555501.0,ns,650
shared_queue_kvs_read,,8,,,67240926.0,ns,660
shared_queue_kvs_read,,8,,,70013768.0,ns,670
shared_queue_kvs_read,,8,,,68538044.0,ns,680
shared_queue_kvs_read,,8,,,84446086.0,ns,690
shared_queue_kvs_read,,8,,,71612390.0,ns,700
shared_queue_kvs_read,,8,,,72786307.0,ns,710
shared_queue_kvs_read,,8,,,75098141.0,ns,720
shared_queue_kvs_read,,8,,,73137410.0,ns,730
shared_queue_kvs_read,,8,,,76469260.0,ns,740
shared_queue_kvs_read,,8,,,76450658.0,ns,750
shared_queue_kvs_read,,8,,,78213184.0,ns,760
shared_queue_kvs_read,,8,,,80266715.0,ns,770
shared_queue_kvs_read,,8,,,97306771.0,ns,780
shared_queue_kvs_read,,8,,,81296028.0,ns,790
shared_queue_kvs_read,,8,,,81442930.0,ns,800
shared_queue_kvs_read,,8,,,83006152.0,ns,810
shared_queue_kvs_read,,8,,,87532219.0,ns,820
shared_queue_kvs_read,,8,,,87598519.0,ns,830
shared_queue_kvs_read,,8,,,87054510.0,ns,840
shared_queue_kvs_read,,8,,,86811805.0,ns,850
shared_queue_kvs_read,,8,,,86598302.0,ns,860
shared_queue_kvs_read,,8,,,87548514.0,ns,870
shared_queue_kvs_read,,8,,,100652210.0,ns,880
shared_queue_kvs_read,,8,,,90405156.0,ns,890
shared_queue_kvs_read,,8,,,93354498.0,ns,900
shared_queue_kvs_read,,8,,,92214581.0,ns,910
shared_queue_kvs_read,,8,,,94211909.0,ns,920
shared_queue_kvs_read,,8,,,98776277.0,ns,930
shared_queue_kvs_read,,8,,,95658129.0,ns,940
shared_queue_kvs_read,,8,,,95357223.0,ns,950
shared_queue_kvs_read,,8,,,105176169.0,ns,960
shared_queue_kvs_read,,8,,,107449502.0,ns,970
shared_queue_kvs_read,,8,,,98791772.0,ns,980
shared_queue_kvs_read,,8,,,100943203.0,ns,990
shared_queue_kvs_read,,8,,,103158535.0,ns,1000
